제목,가격,지역,시간,이미지링크,링크
정품 샤넬 까밀리아 데님 슬링백,"290,000원",정품 샤넬 까밀리아 데님 슬링백,끌올 2일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%A0%95%ED%92%88-%EC%83%A4%EB%84%AC-%EA%B9%8C%EB%B0%80%EB%A6%AC%EC%95%84-%EB%8D%B0%EB%8B%98-%EC%8A%AC%EB%A7%81%EB%B0%B1-d3o4ms1tm3c9/
18SS 샤넬트위드 자켓 (샤넬코리아 국내택),"2,500,000원",18SS 샤넬트위드 자켓 (샤넬코리아 국내택),끌올 1개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/18ss-%EC%83%A4%EB%84%AC%ED%8A%B8%EC%9C%84%EB%93%9C-%EC%9E%90%EC%BC%93-%EC%83%A4%EB%84%AC%EC%BD%94%EB%A6%AC%EC%95%84-%EA%B5%AD%EB%82%B4%ED%83%9D-4sph5ddtn9ho/
샤넬 캔버스 토트백 블랙,"65,000원",샤넬 캔버스 토트백 블랙,끌올 4일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%BA%94%EB%B2%84%EC%8A%A4-%ED%86%A0%ED%8A%B8%EB%B0%B1-%EB%B8%94%EB%9E%99-fguzc73msq2p/
새상품//샤넬 핑크 퀼팅 미니 체인백 240만원 (AP2727),"1,900,000원",마곡동,10일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%83%A4%EB%84%AC-%ED%95%91%ED%81%AC-%ED%80%BC%ED%8C%85-%EB%AF%B8%EB%8B%88-%EC%B2%B4%EC%9D%B8%EB%B0%B1-240%EB%A7%8C%EC%9B%90-ap2727-bvhm1pwfsqus/
샤넬 금장 태슬 화이트 카메라백 숄더빅,"1,000,000원",샤넬 금장 태슬 화이트 카메라백 숄더빅,끌올 5개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B8%88%EC%9E%A5-%ED%83%9C%EC%8A%AC-%ED%99%94%EC%9D%B4%ED%8A%B8-%EC%B9%B4%EB%A9%94%EB%9D%BC%EB%B0%B1-%EC%88%84%EB%8D%94%EB%B9%85-gp2taqwacqmw/
📌 샤넬 쇼핑백,"6,000원",📌 샤넬 쇼핑백,끌올 10일 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%87%BC%ED%95%91%EB%B0%B1-11uu6bbir4at/
샤넬 투투백 유광 체인,"190,000원",샤넬 투투백 유광 체인,끌올 1년 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%88%AC%ED%88%AC%EB%B0%B1-%EC%9C%A0%EA%B4%91-%EC%B2%B4%EC%9D%B8-heoagui6ej1a/
샤넬 25년 와펜 2종set,"15,000원",샤넬 25년 와펜 2종set,8개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-25%EB%85%84-%EC%99%80%ED%8E%9C-2%EC%A2%85set-nhorwag82u6j/
샤넬 클러치백 라지사이즈,"990,000원",샤넬 클러치백 라지사이즈,끌올 1년 전,이미지 없음,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%81%B4%EB%9F%AC%EC%B9%98%EB%B0%B1-%EB%9D%BC%EC%A7%80%EC%82%AC%EC%9D%B4%EC%A6%88-ikef738asdbx/
CHANEL 샤넬 쇼핑백,"5,000원",CHANEL 샤넬 쇼핑백,끌올 2개월 전,이미지 없음,https://www.daangn.com/kr/buy-sell/chanel-%EC%83%A4%EB%84%AC-%EC%87%BC%ED%95%91%EB%B0%B1-b8qocdtox16y/
